GICDeviceID,SampleDateTime,GICMeasured
10237,8/25/2018 7:03:17 PM,-1.80
10237,8/25/2018 7:03:19 PM,-1.60
10237,8/25/2018 7:03:27 PM,-1.70
10237,8/25/2018 7:03:33 PM,-1.90
10237,8/25/2018 7:03:43 PM,-1.70
10237,8/25/2018 7:03:49 PM,-1.60
10237,8/25/2018 7:04:20 PM,-1.90
10237,8/25/2018 7:04:30 PM,-1.80
10237,8/25/2018 7:04:37 PM,-2.30
10237,8/25/2018 7:04:42 PM,-1.20
10237,8/25/2018 7:04:43 PM,-2.00
10237,8/25/2018 7:04:45 PM,-1.70
10237,8/25/2018 7:04:52 PM,-2.10
10237,8/25/2018 7:05:02 PM,-1.80
10237,8/25/2018 7:05:13 PM,-2.00
10237,8/25/2018 7:05:18 PM,-1.80
10237,8/25/2018 7:05:23 PM,-2.00
10237,8/25/2018 7:05:27 PM,-2.40
10237,8/25/2018 7:05:33 PM,-1.80
10237,8/25/2018 7:05:36 PM,-1.60
10237,8/25/2018 7:05:41 PM,-1.80
10237,8/25/2018 7:05:47 PM,-2.10
10237,8/25/2018 7:05:47 PM,-1.30
10237,8/25/2018 7:05:57 PM,-1.70
10237,8/25/2018 7:06:05 PM,-1.80
10237,8/25/2018 7:06:15 PM,-1.90
10237,8/25/2018 7:06:22 PM,-1.70
10237,8/25/2018 7:06:30 PM,-1.60
10237,8/25/2018 7:06:37 PM,-1.80
10237,8/25/2018 7:06:46 PM,-1.70
10237,8/25/2018 7:06:53 PM,-1.60
10237,8/25/2018 7:07:18 PM,-1.50
10237,8/25/2018 7:07:27 PM,-1.60
10237,8/25/2018 7:07:31 PM,-1.70
10237,8/25/2018 7:07:43 PM,-1.80
10237,8/25/2018 7:07:53 PM,-2.10
10237,8/25/2018 7:08:01 PM,-2.30
10237,8/25/2018 7:08:08 PM,-1.60
10237,8/25/2018 7:08:13 PM,-1.70
10237,8/25/2018 7:08:20 PM,-2.00
10237,8/25/2018 7:08:28 PM,-2.30
10237,8/25/2018 7:08:32 PM,-2.00
10237,8/25/2018 7:08:34 PM,-1.90
10237,8/25/2018 7:08:41 PM,-2.00
10237,8/25/2018 7:08:47 PM,-2.20
10237,8/25/2018 7:08:51 PM,-1.90
10237,8/25/2018 7:08:56 PM,-2.00
10237,8/25/2018 7:09:01 PM,-1.90
10237,8/25/2018 7:09:13 PM,-1.70
10237,8/25/2018 7:09:18 PM,-1.80
10237,8/25/2018 7:09:23 PM,-2.20
10237,8/25/2018 7:09:38 PM,-2.10
10237,8/25/2018 7:09:40 PM,-1.80
10237,8/25/2018 7:09:45 PM,-1.90
10237,8/25/2018 7:10:02 PM,-1.80
10237,8/25/2018 7:10:16 PM,-1.90
10237,8/25/2018 7:10:19 PM,-2.00
10237,8/25/2018 7:10:26 PM,-1.90
10237,8/25/2018 7:10:29 PM,-1.80
10237,8/25/2018 7:10:37 PM,-1.20
10237,8/25/2018 7:10:39 PM,-1.70
